summoner_name,rank_tier,lp,win_rate,region
Ya3rub#EUW,iron,500,60%,euw
zeriigaming#EUW,iron,500,60%,euw
fated to perish#jfl,iron,500,33%,euw
lshenzy97#EUW,iron,500,33%,euw
Huru#00001,iron,500,33%,euw
lordviktor11#4501,iron,500,60%,euw
Genosse1312#EUW,iron,500,60%,euw
SettOnmyFace#7441,iron,500,60%,euw
ArcadioPallo#4485,iron,500,60%,euw
harmleikurinn#101,iron,101,60%,euw
AuroRafalTéMor#5 57m,iron,57,55%,euw
relaxogam3r#EUW,iron,500,60%,euw
Kampfzwerg 08#EUW,iron,500,60%,euw
Gr3atPlayzz#EUW,iron,500,57%,euw
Momochi#92i,iron,500,60%,euw
ElShero#9999,iron,500,60%,euw
Gerardd#666,iron,666,60%,euw
sm3x#EUW,iron,8,40%,euw
TarnishedOne#2007,iron,1,,euw
Wishaman#EUW,iron,1,,euw
Slash71#barra,iron,1,,euw
BabyBoy#1013,iron,1,,euw
Counter34#EUW,iron,1,,euw
BillyCorgan PT#EUW,iron,1,,euw
DaddyZac#uwu,iron,1,,euw
CaptainMagma#SBK,iron,1,,euw
Uplift#Shuck,iron,1,,euw
zazar79#you,iron,1,,euw
Simen Promp#8250,iron,1,,euw
zeppelin2s#EUW,iron,1,,euw
enjoyitdark#EUW,iron,1,,euw
Vhorax#6969,iron,1,,euw
Schino321#EUW,iron,1,,euw
Xelon6#EUW,iron,1,,euw
D3rHolzkopf#EUW,iron,1,,euw
PoissKaï#SOS,iron,1,3%,euw
offcell#EUW,iron,1,,euw
megamorf1#EUW,iron,1,,euw
VanillaGorillar#EUW,iron,1,,euw
Senate SPQR#EUW,iron,1,,euw
L4mmA#EUW,iron,1,,euw
smallgothicbat#8108,iron,1,,euw
Blake001#Z14,iron,1,,euw
Rydengiu#00512,iron,1,,euw
Shadow Storm#1328,iron,1,,euw
YoyoLaTache#3977,iron,1,,euw
dbebcuebve#NTMD,iron,1,,euw
SKD Kazdalerie#MÉGA,iron,1,3%,euw
Briarfeetlover#2849,iron,1,,euw
WAAZZAAAAAAAAAAA#4269,iron,1,,euw
LCDL poledore#smurf,iron,1,,euw
immelkalvopora#12345,iron,1,,euw
rayz#2909,iron,1,,euw
nthx#0000,iron,1,,euw
Nyzox#3458,iron,1,,euw
BigWizzleKizzle#SIGMA,iron,1,,euw
dnm007#15545,iron,1,,euw
s3xyprincess#sexy,iron,1,,euw
Trywkimorm#5947,iron,1,,euw
XenoBL00D#0204,iron,1,,euw
ekologiko#2206,iron,1,,euw
KreeepKreeeep#937,iron,1,,euw
Thalmie#mama,iron,1,,euw
mtfbaseball#380,iron,1,,euw
Knight Faker#1234,iron,1,,euw
KrtLcs007#00007,iron,1,,euw
Omaaar37#jaime,iron,1,,euw
Capitaine#letal,iron,1,,euw
ZAHZAH#40020,iron,1,,euw
George Fl0yd#888,iron,1,,euw
ThePlague#049,iron,1,,euw
Para#0139,iron,1,,euw
NBA#sosa,iron,1,,euw
Flushi#65731,iron,1,,euw
Lanøuilleツ#3445,iron,1,3%,euw
Witalorda#9053,iron,1,,euw
gucigengas#4770,iron,1,,euw
goudepauw#2615,iron,1,,euw
Specs5523#3791,iron,1,,euw
curiculum#6809,iron,1,,euw
Thyhel#EUW,iron,1,,euw
Swissmain#6699,iron,1,,euw
FelinBison#EUW,iron,1,,euw
andriala87#1313,iron,1,,euw
Monkey Paw#0421,iron,1,,euw
0AIM MONTAGNE#6776,iron,1,,euw
Drizzit#fr83,iron,1,,euw
LeBear James#G23T,iron,1,,euw
PoloChrom#EUW,iron,1,,euw
Fragdochnochmal#EUW,iron,1,,euw
Klench4Kench#EUW,iron,1,,euw
Arami#7072,iron,1,,euw
Nurgle#PEST,iron,1,,euw
Wanderer#ORV,iron,1,,euw
EzioCorleone#7146,iron,1,,euw
InvasionDiveTOP#EUW,iron,1,,euw
yuancabalo#EUW,iron,1,,euw
FoulLegacy69#EUW,iron,1,,euw
Tive#moon,iron,1,,euw
M8 acsangoku#0000,iron,1,8%,euw
Ya3rub#EUW,iron,1,,euw
zeriigaming#EUW,iron,1,,euw
fated to perish#jfl,iron,1,,euw
lshenzy97#EUW,iron,1,,euw
Huru#00001,iron,1,,euw
lordviktor11#4501,iron,1,,euw
Genosse1312#EUW,iron,1,,euw
SettOnmyFace#7441,iron,1,,euw
ArcadioPallo#4485,iron,1,,euw
harmleikurinn#101,iron,1,,euw
AuroRafalTéMor#5 57m,iron,1,3%,euw
relaxogam3r#EUW,iron,1,,euw
Kampfzwerg 08#EUW,iron,1,,euw
Gr3atPlayzz#EUW,iron,1,,euw
Momochi#92i,iron,1,,euw
ElShero#9999,iron,1,,euw
Gerardd#666,iron,1,,euw
sono gay#6969,iron,500,,euw
GuccixOnduras#EUW,iron,500,50%,euw
PTkiller2442#EUW,iron,500,33%,euw
GODTOFITA15#EUW,iron,500,33%,euw
gekyumlk#EUW,iron,500,60%,euw
S0VETRYNEN#EUW,iron,500,60%,euw
20Lucky01#EUW,iron,500,62%,euw
Pinpin#YUUMI,iron,500,50%,euw
Stormdaddy#EUW,iron,500,59%,euw
яx7#ЖЖЖ,iron,500,60%,euw
Kenzolone#EUW,iron,500,60%,euw
XelarebornvE#EUW,iron,500,60%,euw
Kiu Oho Yai Jang#EUW,iron,500,62%,euw
SEEKER#7777,iron,500,60%,euw
Worst Nightmare#GOD,iron,500,60%,euw
CATCHAWWW#0198,iron,500,62%,euw
matteobert#EUW,iron,500,60%,euw
Lormar#pro,iron,500,57%,euw
DarkRise#2026,iron,500,60%,euw
IdarTheBeast#EUW,iron,500,60%,euw
AndréRoidPhd#Artif,iron,500,100%,euw
DOMLiZ#EUW,iron,500,60%,euw
maNekzzz#EUWes,iron,500,60%,euw
oregon23#EUW,iron,500,60%,euw
MjrBezef#EUW,iron,500,60%,euw
GranCapitan#JLGC,iron,500,60%,euw
SirSherlock#EUW,iron,500,60%,euw
skydrow17000#3254,iron,500,62%,euw
Patjes#EUW,iron,500,60%,euw
RollonL#EUW,iron,500,60%,euw
Lakerolmaker#EUW,iron,500,60%,euw
Lapatatagustavo#ITA,iron,500,60%,euw
PL0pes#EUW,iron,500,60%,euw
Wulf#EUW66,iron,500,59%,euw
