puuid,delta_winrate,delta_kda,delta_cs,delta_gold,delta_damage,delta_vision,delta_kill_participation,delta_team_first_blood,delta_team_first_tower,delta_team_first_dragon,delta_player_first_blood,win_streak,matches_used,delta_goldPerMinute,delta_damagePerMinute,delta_visionScorePerMinute,delta_skillshotAccuracy,champion_pool_growth,total_matches_analyzed
YERC_Nd80C5DQTZ_4L_lV5O2OArLj2uSlNKyBANxRSQPqiXK0c54MeqVPif7uOvmwVZeF_XB6O9kqQ,0.2,0.6745188145188145,0.661163629815877,27.34013040206827,40.12500469774818,0.119595076838829,0.1121774124428831,-0.4,0.3,0.0999999999999999,-0.3,2,20,17.127245356547064,209.57801203723818,0.20386232740438626,0.03691079906682859,0,51
YErJA3oZMyo9DjmTQyOdNa6NWIw6pzbfEwtfcEbhViU76n6z34GUy1mnACRr8txEVWSefmptgCLFLQ,-0.3999999999999999,-1.4651770451770447,-2.311986291167843,-175.19311735704173,-422.59869792277016,0.4597015583576738,-0.1133350634125741,0.0999999999999999,-0.5,-0.4,-0.1,6,20,39.175096589742566,267.24398240396556,0.2163270807288845,0.013558771608840225,1,145
YGGG1o5i2ndOgMUerxAgRH-E8vIJWFmnkNvCpK3x_A2eT5xwTtGFQyPJab6484kob4L-aqfRjzK8dQ,0.0,-1.7631493506493512,-4.259355635968397,0.0,0.0,0.0,0.002068325927676,-0.0062598301352626,-0.0068260459263919,-0.0091538219565901,0.0018559295375904,4,20,10.94368161850332,271.16982736972864,0.06708424811958735,-0.056977107327498555,0,34
YGLIuFDYU-dNPxRIpBTkPKHqoGkBtiXAL-_Wi-A1ncK8zRs2pnu6JWFcf2uakfLAmc2hZtZzoCT-4Q,-0.0999999999999999,-5.505555555555556,0.6093312297454299,0.0,0.0,0.0,0.002068325927676,-0.0062598301352626,-0.0068260459263919,-0.0091538219565901,0.0018559295375904,3,20,10.78498410712831,345.452414509051,0.10012972107208268,0.06392064341089132,-4,50
YH41pQ-j6nQdzHn55Ocnd7zbzTEH1Fma9Rp8JimVs1yzBG2b3FTrHuwZEvldPBtHL_8AdO_XsCKmFA,-0.0999999999999999,-1.5029545454545468,0.0705617524302416,0.0,0.0,0.0,0.002068325927676,-0.0062598301352626,-0.0068260459263919,-0.0091538219565901,0.0018559295375904,2,20,18.399198003009644,318.65896699371285,0.2000869356010484,0.004826206192784593,-1,50
YIkg9Yvyw_wQs9q7FMgf4v8HsCBOYg3QV1cdfOleBmQry0cg0spYfIRDt2mKBD_yPVK-gP8mFYVJSA,0.4,0.6572222222222228,1.3940121105695154,33.6740054502867,68.40572132960881,-0.4127995561724368,0.001714688121684,-0.2999999999999999,-0.1999999999999999,-0.3,0.0999999999999999,5,20,-22.067858410070812,93.98438728261465,0.44647946409174455,-0.17369740649672605,-1,76
YJJ1i2RiL1tMxlRURzKxLLPZ3zjn-ETUmmZHYDFV-BmCO1YQyKp0jUk6IUe3AD6cKHXRrdS5oAkt4g,0.0999999999999999,0.145,-1.878493913947876,-54.159433509828204,-144.61341742911628,0.7006697180643113,0.167382509285599,-0.4999999999999999,-0.3999999999999999,-0.0999999999999999,-0.2,5,20,-11.40558654843909,69.19403239993181,0.47342370913817833,-0.009278375547878803,-2,71
YKvzipB095fn4QpzCxiwxKtPg80va0BcqGrq00-u5DU5PIxTjeGx7UgHI88WyNSGfU5GbEWBn3CKNQ,0.3999999999999999,2.541839826839827,-1.2039141615605873,71.42849054938245,229.2894060166111,0.1999573036571021,0.1108644323114902,0.1999999999999999,0.0,0.0,0.4,4,20,10.821636487414537,182.21484067603865,0.06678373743401778,0.02588484229321386,-1,87
YL1kzUO7FPJ_DiW5_qNkoIozUvyOOUVlio6oMcnEuFAD2z63XhB2SVgYBj8NCcJz4JR6ttbQ09TsVw,-0.3999999999999999,-1.2322527472527476,0.1869244783386943,-53.11106363810933,-210.8466205009252,0.1894394558781269,-0.1258509783872382,-0.2,0.2,0.3,0.1,4,20,-5.567370636551232,100.00589044692288,0.02916892686645589,-0.1837232539223283,-3,50
YNqQVnZ-XdHLBhDQuBDIvB22Kc7dr-W-IKFBrASWlkwyfz9cTdUwK1-4j9MGAuCi2bmyferP54ga0Q,0.3,1.440476190476191,0.6326618681075651,25.6094932432884,326.2049996063428,-0.0214098014212337,-0.056721515199776,-0.1,0.0999999999999999,0.2999999999999999,-0.2,3,20,49.411501058436045,465.3107833766335,0.029733426847178057,0.10800197833333192,-3,50
