puuid,tier,winrate_zscore,kda_zscore,dmg_share,gold_share,avg_game_time,champ_mastery_entropy,avg_kill_participation,avg_gold_per_min,avg_damage_per_min,avg_vision_per_min,team_first_blood_rate,team_first_tower_rate,team_first_dragon_rate,player_first_blood_rate,current_win_streak,current_loss_streak,longest_win_streak_20,longest_loss_streak_20,recent_winrate_5,recent_winrate_10,winrate_trend_10,recent_kda_5,recent_kda_10,kda_trend_10,kda_volatility_10,prediction,anomaly_score,is_anomaly,summoner_name
a3642Oe1iXCgktSHhT9xTMbmMaooFeym9UmTg9_fETu0gx-jkINO5pqPEPJemyIiyY6iqzrnlLbP6g,Diamond,-0.2290837852139267,-0.2121644778391319,0.2314611760221109,0.2328466432406568,1594.82,1.9541859576206424,0.4304495315345871,490.3936315763681,820.1423659673912,0.3607970641950651,0.6,0.44,0.46,0.16,0,4,3,4,0.2,0.3,-0.2,5.2450216450216445,3.782940115440116,0.4621281496281506,4.650939062492662,1,-0.4690977809647296,False,LABUBUDEMON75#DRAV
a3DisTFk_Ey1mu9FDhVx9nJ7R18aG2Sx4Ue5_MEwH8jf-sJuU21bwQZfVb8G2q1RXEyxW-_rKeJF3g,Emerald,0.1613506206567179,-0.2440445794920647,0.1896028610114297,0.1849452264785686,1521.22,0.7995563653652469,0.3310411808410457,368.2223595645393,684.0590044668927,0.531758960378468,0.58,0.48,0.6,0.1,2,0,7,4,0.8,0.6,-0.2,2.155,2.0625,-1.5138095238095235,1.2928502641665645,1,-0.4600255242372947,False,p0rnnEnjoyer#Ornn
a3qqVmWAHBpLp2U-27I36ePNt1f3fhkvuaA6W5Gl-STiGWKUfb0lQ7iyb2aWqWDcWTB6ukUmOO6Q0g,Diamond,-0.1088032722062543,0.1863778126261228,0.2244145536399091,0.220182995603663,1567.04,4.473269689474715,0.5377902134658118,464.0957550124506,810.1938464905843,1.0922810329004575,0.52,0.48,0.52,0.2,2,0,3,4,0.8,0.6,0.3,11.616666666666667,7.082705627705629,5.575490620490621,7.962087515279096,1,-0.488336249604747,False,VelvetTenno#EUW12
a4JX3wjZfEOyhaAzQtFF9Li2xpGFUbB8eq5w7St6qJhanmw_MFamX4eHC8MxknDRd3iLSL1uofRrMg,Grandmaster,-0.0684656438393289,0.5516311251956227,0.1471732384412599,0.1593175316285374,1602.38,2.116031712499767,0.6709224030644237,335.0228396386283,517.0464742658439,2.475755859645773,0.52,0.46,0.42,0.26,2,0,4,4,0.4,0.4,-0.1999999999999999,4.283333333333333,6.004166666666666,-0.1970238095238103,6.529911146664504,1,0.0,False,ＳＴＡＲ#333x
a4Z5oykHzhG0jRx00EE7pOchNqtSOIS7Tuu2Tiwtm6Xs-wL9Z3hoEqyt28en42Cifl5d9oTjd3zYCA,Master,-0.1085588364054645,-0.1522230705809245,0.2593610970454725,0.2464741789391658,1564.9,3.088102070175612,0.4837840041324568,532.8605037860374,948.5932613036236,0.6911040902753984,0.44,0.56,0.52,0.24,1,0,3,4,0.4,0.3,-0.3999999999999999,2.921717171717172,2.3622474747474747,-1.848863636363636,2.29667826181355,1,-0.4443840294095331,False,Bjoernen#bjørn
a4if4jZig5o2JKPvL5mNgHgRoUA7K9hEgKrFaHAAzGMWDkx_cninr9QemNvnH2xSdeBes5usz6CrxQ,Grandmaster,-0.0283724512731933,-0.0906483703709847,0.23038149807395,0.2072881990963386,1623.88,1.5737629491530485,0.45396704222245,441.64503363765385,796.2208160700615,0.8906278496701924,0.5,0.5,0.5,0.18,0,1,7,2,0.8,0.7,0.0,5.075,3.6977272727272728,-1.359058441558442,1.9788342841094453,1,0.0,False,NUR LIEBE#LIEBE
a5IAC0Hzqbbsl_VD3uAWGdIDn4fyfS0T_lw6envPw8PmfWT8teUIlBNRbIEKOrM02_Ndmd1MFPnZDQ,Challenger,-0.2386246209917866,0.0413278109459829,0.1362043481765565,0.1638822783189134,1595.28,4.125533250523672,0.5604818907701216,349.166530646122,459.0292341619053,2.342090333154683,0.56,0.44,0.5,0.22,0,3,2,3,0.2,0.4,-0.0999999999999999,3.781428571428572,3.480714285714286,-2.950119047619048,2.5001551992642703,1,0.0,False,marlοn#EUW
a5ToutLB-hI0MSb5nTbATCJKJN5RtoH-zxZ3o3kHUM6TcmoWNdHOEYtukjrP4EgXla_RsuL1irU-Sw,Bronze,0.3778530453190326,0.2189678727679662,0.2520463914155052,0.2203942976115813,1960.76,2.284024129101846,0.4684097073841418,453.5395084648594,996.0915017140278,0.655350663548873,0.48,0.62,0.4,0.22,3,0,3,2,0.8,0.7,0.0999999999999999,3.775714285714285,3.864642857142857,0.0448809523809519,2.3508446430409404,1,-0.4322262504025171,False,SwapNut#EUW
a6dXhZKWlbrCPDy5oddZUO-QV2f7gK6AUG5_bXGKNm7vqyNiUptr3581Yacnw4F8iwi5l53LEkxucA,Diamond,-0.0687097678703635,0.0054802851758204,0.2321652015310457,0.19744507094066,1661.4,3.89617463004079,0.426187187707358,415.5644697917105,800.3810512816017,0.8821726362116391,0.4,0.58,0.44,0.04,0,1,2,4,0.4,0.3,-0.2,3.733333333333333,2.616666666666667,-2.537424242424242,1.790809872655386,1,-0.4075409293914419,False,Große Bot Diff#EUW
a9CylvDf2jxQ7nu93Du00GtNaZIedCDdHTuJgjSihCvLFFCm1JqZ6rO6BC7PXSQ5N6sKfAjU7edd6w,Master,-0.0283724512731933,-0.4072189415200244,0.2340662323193574,0.2001199249167263,1634.74,4.515728750602998,0.4379803914717668,435.896897990837,900.9167441872684,0.8407442824899881,0.48,0.5,0.48,0.12,0,1,2,3,0.4,0.5,0.0,1.6133333333333333,1.7208333333333332,-0.3924603174603178,1.048313791550772,1,-0.3939551362480366,False,twtvrandomeuw#ukaho
