match_id,team_id,team_won,gold_diff,damage_diff,kills_diff,deaths_diff,assists_diff,vision_diff,turrets_diff,dragons_diff,barons_diff,cs_diff
EUW1_6821016094,200,0,-10588,-38275,-13,13,-28,-21,-8,-1,0,-91
EUW1_6821136162,100,1,3778,4964,9,-9,18,-25,5,3,0,52
EUW1_6821136162,200,0,-3778,-4964,-9,9,-18,25,-5,-3,0,-52
EUW1_6821401584,100,0,-13152,-24532,-26,26,-19,-42,-4,-2,0,-126
EUW1_6821401584,200,1,13152,24532,26,-26,19,42,4,2,0,126
EUW1_6821403996,100,1,8310,1397,3,-4,28,24,1,4,2,-134
EUW1_6821403996,200,0,-8310,-1397,-3,4,-28,-24,-1,-4,-2,134
EUW1_6821439859,100,1,1721,104,3,-3,7,16,-3,0,1,-34
EUW1_6821439859,200,0,-1721,-104,-3,3,-7,-16,3,0,-1,34
EUW1_6821514198,100,1,9154,23677,19,-19,34,12,3,1,0,35
EUW1_6821514198,200,0,-9154,-23677,-19,19,-34,-12,-3,-1,0,-35
EUW1_6821528436,100,0,-9474,-22288,-13,13,-28,3,-3,-3,-1,-72
EUW1_6821528436,200,1,9474,22288,13,-13,28,-3,3,3,1,72
EUW1_6821583867,100,0,-4600,-6436,-7,7,-1,-13,-2,-1,0,-72
EUW1_6821583867,200,1,4600,6436,7,-7,1,13,2,1,0,72
EUW1_6821604035,100,0,-9509,-7313,-5,5,-4,0,-5,-2,0,-238
EUW1_6821604035,200,1,9509,7313,5,-5,4,0,5,2,0,238
EUW1_6821854997,100,0,-14126,-20187,-20,20,-36,-6,-7,-3,0,-126
EUW1_6821854997,200,1,14126,20187,20,-20,36,6,7,3,0,126
EUW1_6821917173,100,1,6313,25595,14,-14,28,10,5,3,0,-36
EUW1_6821917173,200,0,-6313,-25595,-14,14,-28,-10,-5,-3,0,36
EUW1_6821996174,100,1,4547,21992,-2,2,-12,38,8,4,0,-63
EUW1_6821996174,200,0,-4547,-21992,2,-2,12,-38,-8,-4,0,63
EUW1_6822146682,100,1,-980,-36815,-3,3,-42,16,8,0,0,63
EUW1_6822146682,200,0,980,36815,3,-3,42,-16,-8,0,0,-63
EUW1_6822217814,100,0,-7283,-12301,-15,14,-23,-5,-4,-1,-1,70
EUW1_6822217814,200,1,7283,12301,15,-14,23,5,4,1,1,-70
EUW1_6822251604,100,0,-3066,-13638,-5,5,-2,4,-2,-2,0,-72
EUW1_6822251604,200,1,3066,13638,5,-5,2,-4,2,2,0,72
EUW1_6822627597,100,1,9199,17001,19,-19,24,-4,6,-1,0,-20
EUW1_6822627597,200,0,-9199,-17001,-19,19,-24,4,-6,1,0,20
EUW1_6822681311,100,1,18643,31974,33,-32,47,0,9,1,0,154
EUW1_6822681311,200,0,-18643,-31974,-33,32,-47,0,-9,-1,0,-154
EUW1_6822721744,100,0,2041,10101,1,-1,32,42,-8,-2,2,-75
EUW1_6822721744,200,1,-2041,-10101,-1,1,-32,-42,8,2,-2,75
EUW1_6822832321,100,0,-11936,-27965,-19,19,-4,-46,-5,-4,-1,-87
EUW1_6822832321,200,1,11936,27965,19,-19,4,46,5,4,1,87
EUW1_6823098300,100,1,1208,13492,-9,9,-19,8,6,0,-1,105
EUW1_6823098300,200,0,-1208,-13492,9,-9,19,-8,-6,0,1,-105
EUW1_6823106444,100,0,-3219,-12983,-5,5,-36,-7,-3,3,1,73
EUW1_6823106444,200,1,3219,12983,5,-5,36,7,3,-3,-1,-73
EUW1_6823203666,100,1,11791,20719,24,-24,25,7,2,0,0,60
EUW1_6823203666,200,0,-11791,-20719,-24,24,-25,-7,-2,0,0,-60
EUW1_6823204786,100,0,-8015,-11449,-12,11,-22,-27,-5,-5,-1,-86
EUW1_6823204786,200,1,8015,11449,12,-11,22,27,5,5,1,86
EUW1_6823211154,100,0,-11106,-45172,-13,14,-10,-34,-5,-1,0,-155
EUW1_6823211154,200,1,11106,45172,13,-14,10,34,5,1,0,155
EUW1_6823278182,100,1,9684,12553,5,-6,-5,23,9,0,1,102
EUW1_6823278182,200,0,-9684,-12553,-5,6,5,-23,-9,0,-1,-102
EUW1_6823280821,100,1,14116,34093,23,-23,8,-4,9,0,1,67
EUW1_6823280821,200,0,-14116,-34093,-23,23,-8,4,-9,0,-1,-67
EUW1_6823293723,100,0,-12847,-2511,-19,19,-26,-47,-6,-4,-2,-121
EUW1_6823293723,200,1,12847,2511,19,-19,26,47,6,4,2,121
EUW1_6823350302,100,1,5708,19380,6,-6,27,-30,5,3,0,63
EUW1_6823350302,200,0,-5708,-19380,-6,6,-27,30,-5,-3,0,-63
EUW1_6823457716,100,0,563,238,1,-1,2,-1,0,0,0,2
EUW1_6823457716,200,1,-563,-238,-1,1,-2,1,0,0,0,-2
EUW1_6823506701,100,1,6008,35563,4,-4,3,28,8,4,0,148
EUW1_6823506701,200,0,-6008,-35563,-4,4,-3,-28,-8,-4,0,-148
EUW1_6823726499,100,0,-2146,-8377,-4,4,-10,31,-4,-1,-1,47
EUW1_6823726499,200,1,2146,8377,4,-4,10,-31,4,1,1,-47
EUW1_6823735701,100,0,-5557,-20553,-6,6,12,-3,-1,-5,1,-214
EUW1_6823735701,200,1,5557,20553,6,-6,-12,3,1,5,-1,214
EUW1_6824004130,100,0,-11660,2188,-12,12,-16,-17,-6,-2,-1,-51
EUW1_6824004130,200,1,11660,-2188,12,-12,16,17,6,2,1,51
EUW1_6824181292,100,1,10866,4321,19,-18,18,30,7,4,1,19
EUW1_6824181292,200,0,-10866,-4321,-19,18,-18,-30,-7,-4,-1,-19
EUW1_6824322351,100,1,5760,-9108,-1,1,20,-42,1,0,0,137
EUW1_6824322351,200,0,-5760,9108,1,-1,-20,42,-1,0,0,-137
EUW1_6824388423,100,1,7839,32016,18,-18,16,25,3,1,0,27
EUW1_6824388423,200,0,-7839,-32016,-18,18,-16,-25,-3,-1,0,-27
EUW1_6824651714,100,0,-10986,-49983,-12,12,-35,-4,-3,0,-1,-12
EUW1_6824651714,200,1,10986,49983,12,-12,35,4,3,0,1,12
EUW1_6824705098,100,1,12720,14524,23,-23,20,9,4,0,1,58
EUW1_6824705098,200,0,-12720,-14524,-23,23,-20,-9,-4,0,-1,-58
EUW1_6824772956,100,1,7606,44487,12,-12,29,-39,4,1,0,81
EUW1_6824772956,200,0,-7606,-44487,-12,12,-29,39,-4,-1,0,-81
EUW1_6825880769,100,0,-6670,-17958,-6,6,-31,-17,-1,-3,-2,-54
EUW1_6825880769,200,1,6670,17958,6,-6,31,17,1,3,2,54
EUW1_6825894398,100,0,-10294,-29972,-12,12,-20,-44,-3,-4,-1,-112
EUW1_6825894398,200,1,10294,29972,12,-12,20,44,3,4,1,112
EUW1_6825929972,100,0,-6217,-41730,-18,18,-18,-6,-2,-2,-1,-60
EUW1_6825929972,200,1,6217,41730,18,-18,18,6,2,2,1,60
EUW1_6826008512,100,0,-4616,13066,1,-1,19,-8,-1,-3,-1,-179
EUW1_6826008512,200,1,4616,-13066,-1,1,-19,8,1,3,1,179
EUW1_6826092178,100,0,-1732,-13650,-2,2,6,69,-2,-3,1,-90
EUW1_6826092178,200,1,1732,13650,2,-2,-6,-69,2,3,-1,90
EUW1_6826172971,100,0,-7974,-9132,-14,14,-24,-12,-1,-2,0,30
EUW1_6826172971,200,1,7974,9132,14,-14,24,12,1,2,0,-30
EUW1_6826213635,100,1,1179,-24910,-3,3,-9,42,3,3,0,45
EUW1_6826213635,200,0,-1179,24910,3,-3,9,-42,-3,-3,0,-45
EUW1_6826269299,100,1,5120,10383,2,-2,22,25,3,-3,1,-5
EUW1_6826269299,200,0,-5120,-10383,-2,2,-22,-25,-3,3,-1,5
EUW1_6826272759,100,0,-10690,-40610,-17,17,-39,-15,-5,-4,-1,-52
