puuid,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_per_min,avg_vision,avg_vision_per_min,avg_kill_participation,team_first_blood_rate,team_first_tower_rate,team_first_dragon_rate,player_first_blood_rate,win_rate,champ_pool_size,main_role,matches_used,tier,recent_form_30,recent_form_10,kda_consistency,champion_pool,role_focus_pct,gold_std,damage_std,goldPerMinute,damagePerMinute,visionScorePerMinute,skillshotAccuracy,killParticipation,controlWardsPlaced,wardTakedowns,soloKills,deathTimeRatio,earlyCS,turretPlates,killsNearTurret,epicMonsterSteals,objectivesStolen,bountyGold,champion_pool_size,role_consistency,total_games,matches_analyzed,wins_in_matches
mR-4Kao-y2EEJNxd6tiz0L6_X1HIT--9uuV0BPaGvd-gS0YJBN60odDLNlx-Llq0U1Waq5wt6nQt7Q,6.083650793650793,2.0645739213265126,356.34716599887906,430.7950080317217,73.4,2.7685346711366536,0.5281266063348005,0.5,0.6,0.3,0.1,0.66,11,UTILITY,20,Grandmaster,0.6333333333333333,0.5,4.430338587512245,17,0.84,85.10096287242843,247.1748942650368,347.4194787563123,451.6203157973478,2.714659803737292,0.40758681527649115,0.5843409099084326,3.75,7.09375,0.21875,0.0606299019343352,23.265625,6.515625,0.65625,0,0,82.34064745903015,19,0.84375,64,64,39
mT3iBMaXxe0a2tz4XwGYAwBFHd3eiSXXnt3fzmCsMfI6rwyUUvhJSRhcLBux0QN9XroMfx74sMgWVw,1.7611655011655014,8.575918710222366,436.70203118913713,731.9558031368304,19.25,0.7461322106138011,0.3260188758729102,0.5,0.4,0.5,0.3,0.36,3,MIDDLE,20,Grandmaster,0.2666666666666666,0.3,5.259039836319934,4,0.8,87.55861920669619,302.70986778022274,468.0555048230081,830.2329185528351,0.7129771105843311,0.4185780093125104,0.3777017230552702,0.32,1.592,1.984,0.12595822205462845,84.94800000143051,11.416,2.032,1,1,154.8117974243164,5,0.784,125,125,67
mTdRwT1fYPd42qEAgbG23GtVSZm5LTcRJHUrEKgye20O0PKOBr3dkIj4OT9F1MImw41OrSN4HVlEFw,3.3802489177489177,5.576534017152381,418.8810232673638,818.538676672158,24.0,0.8216837536811539,0.4856661304509543,0.55,0.5,0.55,0.25,0.5,10,MIDDLE,20,Gold,0.4,0.6,4.988589480003341,11,0.88,70.75596720049829,304.10415492792833,417.89234080080695,790.2323780457081,0.6599959057559498,0.5306599295809993,0.4477331510445264,0.42,1.12,1.84,0.08220038954521526,66.56,2.26,1.38,1,1,279.50847717285154,11,0.88,50,50,25
mTfSKWb4OSQAgXPobcK0PbE8ZiSQpzDH0YDj4tIWP6VEUm9pV2tZWqOH0ffWU8f8vNlXqV5Awv66eQ,2.4746031746031742,7.560469564469718,412.11923343077217,789.2131043471011,31.95,1.1610004487919563,0.3223361570212072,0.55,0.6,0.4,0.05,0.6,14,TOP,20,Grandmaster,0.6,0.6,5.416966401963373,19,0.94,63.47618454547099,289.2419304579914,429.85826365615947,890.3184733727196,1.106554671700522,0.3779708796108231,0.38801074766933136,3.194915254237288,2.635593220338983,2.2203389830508473,0.08831040772355825,79.70127118719836,9.830508474576272,1.8135593220338984,1,1,157.06615622568938,25,0.9491525423728814,118,118,66
mTgyvjMBqTNmfC8ZK0naRITY6bVY7h2vvUnjAYMHvlWceGGg_K-VKAlmrDZ5veU5D9fPgBqUZUrV4Q,3.323095238095238,2.8268294081139667,342.8272216648519,464.0569897153581,55.4,2.103208323714189,0.5016401444447147,0.75,0.45,0.3,0.4,0.52,3,UTILITY,20,Master,0.5333333333333333,0.4,3.8451137824516977,5,0.82,65.93641120441026,226.59071424515625,328.9112744139175,394.48112982532024,2.4072295590416783,0.4586100750343698,0.5664361088223714,4.033333333333333,5.522222222222222,0.3111111111111111,0.07939504521804756,27.960000000066227,7.011111111111111,0.4666666666666667,0,0,63.7172230190701,5,0.8333333333333334,90,90,47
mUQmA7yvHkBWIK8bOnk92OkcAgZrD2t7GGEa0BSlBu-w1WTTRiGnKjE5ExkH0Kg8w6pBuee-kxnJgQ,2.766230158730159,4.62043256580283,386.3997132785773,751.4938189521575,28.1,0.8262428361634024,0.4592490937246508,0.4,0.45,0.55,0.15,0.5,3,BOTTOM,20,Iron,0.5666666666666667,0.6,6.583433754508357,4,1.0,68.97228261653117,367.7198623188668,381.95722490841973,613.865238636868,0.7588724234169908,0.31558397042079334,0.3986677806460508,0.0,2.0588235294117645,0.8627450980392157,0.0910276119614918,40.1764705882353,6.980392156862745,1.196078431372549,1,1,195.86677057602827,4,0.9803921568627451,51,51,26
mUes3KSwaglS0WQeHt24NtI9HDlk2pMbMEKY4BLMuJCh_5NjB6-Bh7tX-iQS7lloz5xIZ4VVWCc5Vw,1.051263736263736,2.8652377093563355,324.42817635222343,470.50687513335487,12.45,0.4360351587278731,0.3238709571850519,0.3,0.4,0.3,0.05,0.3,10,BOTTOM,20,Iron,0.3,0.3,5.09235701812039,17,0.24,58.81862883546945,367.4483877225391,321.93218897390693,589.6130253488886,0.4685204275222442,0.4115107964697662,0.37766728955369283,1.02,0.62,1.04,0.11858089080743796,38.41000001192093,1.24,1.1,6,6,167.34584411621094,17,0.44,50,50,15
mUljNeFd_oCNeGvphYLT6NUqrPMs6Je8oomOdPO_wGyty4OcFxJtn9RxLhW9TOO4cW88hFEqaGwqsA,4.6668903318903325,3.926575825819748,412.1200666383263,721.1087817631384,28.6,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.62,11,UTILITY,20,Silver,0.6333333333333333,0.6,4.681356640974922,12,0.78,82.84047645436085,267.49806602627274,337.3342485999539,469.94698719288976,1.1766376384287494,0.38899339655537213,0.4792888026757719,1.4,4.02,0.34,0.08444514940405418,24.7,2.38,1.18,1,1,90.23874389648438,12,0.78,50,50,31
mUmvKEWD6wKlkiy1ECzSoU-3Tm7B-mZfbruxuzSqLsOYSMzFaCez5ELaLm641inJBasAqLBpe0jfVQ,4.470649350649351,1.179226872234797,360.7232224999312,352.44740891997503,62.45,2.41665829473427,0.6840026802550935,0.65,0.5,0.4,0.5,0.52,3,UTILITY,20,Grandmaster,0.5666666666666667,0.5,5.561079031986508,4,0.92,102.9454239720995,304.3402387732592,337.16497864271446,363.7025662370638,2.349673094092198,0.07389519221726604,0.6407592909159864,5.25,5.9868421052631575,0.2236842105263158,0.08737174064713606,21.567763158561366,7.506578947368421,0.6381578947368421,1,1,65.49979581330952,7,0.9078947368421053,152,152,79
mWX1TVZ3J2BXyT5xNl-ZGw-LIEBcsP5AMWpHVhjdLCrPxOsIra6B3Zn02fIpvFOGOrlYdhJsvZXZMw,8.919404761904762,1.221734528916698,334.36869888130934,354.1077641846927,81.9,2.819591427575048,0.6999315911716536,0.65,0.65,0.7,0.35,0.54,3,UTILITY,20,Grandmaster,0.6333333333333333,1.0,3.415658794434832,5,0.92,53.6918392291891,108.9552955107316,324.76885158756005,299.66402635728156,2.568348913486971,0.5337149595261799,0.654971114913213,2.8048780487804876,8.231707317073171,0.18292682926829268,0.05462918358719143,13.95182926843806,7.365853658536586,0.6585365853658537,0,0,90.08052714278058,5,0.9390243902439024,82,82,45
mX9RJ_Uv7r3PpkPDUPEYeGUus_OSVNvAYfITAgKs8l-iGLkJcZuCVkWmFTkgHHp6bBFAZq2DML3-Nw,3.3424007936507936,6.655166164680521,401.8952495032572,701.3408892656273,22.35,0.8868820283619343,0.4051376760878494,0.45,0.45,0.55,0.15,0.48,14,MIDDLE,20,Diamond,0.4666666666666667,0.4,5.696709576588928,24,0.76,77.16401492013719,338.2486236420593,407.2214519222988,746.9000748982044,0.851974163124723,0.6056375487620089,0.41181926381275674,0.28,2.06,1.14,0.08792587737502647,70.06400000154972,7.22,1.2,0,0,155.4934603881836,24,0.76,50,50,24
mY0vLL_5uL1hgBv9PyOiSPnvtJPzHK8SGuh-HnWMUCDQmbf7Tohlk6HkVHXagAuvnzMfqQctRKxKMg,4.6115079365079366,7.371992749570941,503.2111345051305,1021.2309560634664,22.75,0.7823210130902141,0.5361392219961305,0.45,0.65,0.25,0.3,0.54,16,BOTTOM,20,Emerald,0.5,0.5,5.91708543118992,28,0.56,102.30701378857076,384.1854376494245,456.4588174036907,891.7871219423947,0.7519959311245392,0.4909652822418981,0.48757693046117767,0.52,3.64,0.78,0.08890129024153465,67.72500001251697,5.02,1.68,0,0,199.73970474243163,28,0.56,50,50,27
mZ-e5Es0XXqdCNhC_hEXq2yWU7hZRPr0cfO1xgArF_N-pGpcvq-J9hQ57K4b65jeFPtIIH1ybrQOyw,2.232062937062937,7.938222811529698,443.70195980139823,987.0677273185178,15.35,0.5433867547281992,0.4646027200414768,0.6,0.5,0.55,0.4,0.46,10,MIDDLE,20,Master,0.5,0.4,5.595810933189219,14,0.92,55.47822396314916,264.55856531628086,439.7327606632172,857.0099043639941,0.5299310879651146,0.5762353313121854,0.43355037666362173,0.19480519480519481,2.2467532467532467,1.6883116883116882,0.11703086677157026,81.50649350804169,8.727272727272727,1.4935064935064934,1,1,141.4900494860364,18,0.8701298701298701,77,77,36
