puuid,summoner_name,tier,region
83WqsDnH2eRtpuekSh-a0hCY_glPZQWU2QaXtuKsMm475vzVSYFYx36wJue9KXRu1HFr9OmMP-bPFA,Jamie#EUW2,Master,EUW1
kSqcKoPqMFgXGYF6P9LkvbqOHy9XRWdQz-zZS2tMobX61aNdSPj14B89J5S6pF7JXkYncDRnPxrb7A,Koby Falks#KEK,Master,EUW1
iL6ZCoKUzhbSLY4GlpoS0WW8yUk2OeJfiXVcJ7_lOsgxu_NwXcpFe0J02pn4QtkVI6Byvr8yAUUebw,aram hesabı#EUW,Master,EUW1
g9QuafkOu4fFvrS6O6X5veo1sDv15FGfFSy-nvIsDdJQPMpnPRIfUef-n1DYEDQPqH4Lm_WI9Nla5w,kagune#5623,Master,EUW1
gYBNusvzWfDYDJLGBLGhvktbwV9gPoqkHuqVDBWT09_JkJU2nmh8XM3mM5FyHbTEwA-9RaH3FaMFNg,FullClearUwUka#WORST,Master,EUW1
qUM7vSxtqBXlpsy4pmpG_-aUXA-f-xuOSQBTP_T6oQlmS9U6iTYQtqyCBAwC8_1M2hdMEPiQXme3QQ,Alessio#ADC,Master,EUW1
ru3AL9ClAYCSGe8gcRkuQuQHi4fo1ENmFOqJXni8EtmSBr45Pn3vKoX9QUYXJCsG3ulX3DL_5dp10A,Brevitate Vitae#EUW,Master,EUW1
jBvnCYuGvId2qPydKLP95c7A6hkxjNACW3VgSoPygY7PytZ75Y_jM9qqzuaGZsuR73S3TDzs_Pld1g,Dealersz#EUW,Master,EUW1
Ywl2GiDznhIj84mT4dyKUkA1ej9ecbmceEWLmmuellzvOHR1Iurd2zDjzgTRGVMHp-O2AUcCWDPo2Q,Snaik#EUW,Master,EUW1
Lbkdc21aRmmVovqiDHv1KekNZbYWAycPTuMlfPqGICJFjUFj3LfuQSTHIFczVSMOlEd_kZXLFTvScA,KC 16y TOP KING#KCWIN,Master,EUW1
U_weB6xqcoE0H9KLTZnx0n9N4avWUKFhcpbZzH5bsXhYwT0MfuKNnF2MO3hCTCOxm2mS6jaAleASew,TTV SupremeG0at#Akali,Master,EUW1
D4qhyqGjo7ya-_TbRT0KkFlzaITyGs_T7toq8kMEyxJgQrOmjRgtlce9uvE60cPtGdf8hNdN8E_c4g,IHEBIC#0000,Master,EUW1
B3TkfNbUnubPSfhn0jnu-a7bQAY9nUmEJYaZNoIsDcXL-Xwvvyrw19SLxxY0IWEQsrh_1kodTyxC4Q,2026#OURS,Master,EUW1
ncB0EFefQ9hmjPz5ROkJd_1mEIroizlcblsX3yqKUihlVIcKddk3p287q2ODwDZsi2Cp-fOL8XedbA,Isildur#weak,Master,EUW1
tPHTx8ZoR4mqvYtXRDa-cdBdwME4NDVYl-I8S5bf73xFur7TWes9kKLt3I0iYyMdKgVvpXL4JGHsUA,TTV VinGOAT1#RKO,Master,EUW1
YKvzipB095fn4QpzCxiwxKtPg80va0BcqGrq00-u5DU5PIxTjeGx7UgHI88WyNSGfU5GbEWBn3CKNQ,IMSF1#EUW,Master,EUW1
vNLtJKFDlOEsYbzU6TTDHOPs7bUsXhaJB_cUwQtlugPxpxAyR0hOVmfqw9MWh8ZOEs6YpalBpX37Ug,LEC2027#KOI13,Master,EUW1
SjE-MsoJWpG0Dv1RW3cjdCFr_W7maMRFtTjWfs6ebi9qRqkxKMg10T31tiJ6C6eCf_bv_dnDmOk6Rw,Kami#HGL,Master,EUW1
ccC5t-QFRRMnWabMPnymLwpekYka9Odk2hDedHc1l8OS2ZryqyUHv1RvuvUBS-dC0VTbQDIKRX379w,Lathyrus#EUW,Master,EUW1
qElaG3oclW-7CiCoTT620IhixTKWUzkSUwba0xY15q6-qdcEQQ15zDkhCLSDsH6rXcsnyZ6t8B9X0A,drooofan#Noula,Master,EUW1
