puuid,summoner_name,tier,region
ekqvly8707hL1nxMlgeCpiYikOZK7EUnQYzoOoGuBC0o24hZo5IKb2G-LMzlbQu-e4nOsyEDhINW5A,LCDL poledore#smurf,Iron,EUW1
ZKzXdoJbEoIAGLyXVo6OX2a_WzTGvSVQ4CJpp3_WFsiOGGzyOIkeBwFBVgQBoS_bI3eOg7tZS6LGXg,immelkalvopora#12345,Iron,EUW1
KJGX_1LS13HGvBmdUtf4UC6ts8IFK19N4FpyQ49Wj_HjeLg4PhXSQYflcpWR4APcY3mjcKFpvURlsw,rayz#2909,Iron,EUW1
lEF7Fznjz8RPvOr95H7ZnXrsR_62ZSjIlgzhi7aivSgRWCSfoqzBd1eLq80xbhFmJa4yZ2EJTmKoDw,nthx#0000,Iron,EUW1
rC7RFYWohmBibBWncrUnEHeB4hEToi2Cj8-Yqm28z2OkCm7XzFdpZT8NPspZ_IH7VrbkClQNfwOxwA,Nyzox#3458,Iron,EUW1
aHuLEMbdEf16X16ZafVo2lYll3yphbiJ1bWOsblQMs4Jo5z6B5N5I6GMV-veFha59KEJngWwE2xivw,BigWizzleKizzle#SIGMA,Iron,EUW1
7X6L_Lgpe5LiBc_zVRUepq0NP1BJYPowyYVoUapIiIkaFYo4FVe4dCTHhxcGhC0-OL4Hm6jk-ioVpA,dnm007#15545,Iron,EUW1
ct9aEQsiDv_iglTMJHUpoR8T6lr6WkIrYBD7ZXOdVeld5B0aH8pMLwhxD96dxvaOyXGqwEKIpmteQw,s3xyprincess#sexy,Iron,EUW1
lA0wM7trtSYEVDMu0dwkyZPpWEnLWMofFKkz0nbvmUrYGGODdwHvlzT7vbqNaPaGd9V9Fp4wSgs6LA,Trywkimorm#5947,Iron,EUW1
CQ2v2w51wOX2bElaFKMTbwriTAPDhqtax_TOmKXreTsN3_AY19Ea8Ri_22FjUolo1kVD7efUbFsjTA,XenoBL00D#0204,Iron,EUW1
xSxhKC6OM47vhAePwt0ns8ToddllQbp92Bi1E9BUe8Q-KglaNwaX5CKnVihSQCoxQLSLn_A8EwT59w,ekologiko#2206,Iron,EUW1
3VBmwMNViJQFjMn2EwLtDg8qS4x92eq5SwUfNN9CIvG7HZqnB4yApAgYWUb2_EK_wls9C4rXmMM3lw,KreeepKreeeep#937,Iron,EUW1
KH5XAsmB6PE5zZLxLMQ4vnomRheR1TTNY2oFWEmNeDnjr__kSf20ynOkKx-gfOyxfNGUlLuQSvDzcA,Thalmie#mama,Iron,EUW1
WF65F-_HCot6kQtZsL8nS6pdXkoN_qkWXJMfAVrDYi1kf_FTwYt86j1gPlMNzXofVk78Rq4yUiAtgQ,mtfbaseball#380,Iron,EUW1
rCMTuov3fquJDnAzSfLvCA-5pqXya_xLDtlYupZZPquqAqrN4rqG969gUY-i8UVEgrTmkQROgiuw4g,Knight Faker#1234,Iron,EUW1
EAq7ek9GvAgNUbuAiRIdNRqnrVaruO1IyfoFrBGbPrtioFazSUJJikc1fAjO-PQdN3WtTkHTU42sbA,KrtLcs007#00007,Iron,EUW1
5rF-uJntv9b6CKKFuRpyrlvby-myBmRtDSSrZguJ-4vgrZu-9M6nLDHLXscHlkz9RVoLF3DxvWntGA,Omaaar37#jaime,Iron,EUW1
DixKmxufbr2qriV1ln6yjoKGw-Y22AZ9CpP223OeUkK8Iia7Y_v41LULeKki3ChTRyKJyvhmosbIZw,Capitaine#letal,Iron,EUW1
WrTe9ONZp0ULNAME1F7fLrFuds9c-CHHejnkXuyC_db3EQ5_5rbBKBNshDmTZP1lc2UOILGqB59mdw,ZAHZAH#40020,Iron,EUW1
b9y9ey7K8CL8FpxACu5g0lW3fR7p6xQ9FQhZ4eGnHZMSPF2CcpMv-WO5Y4rEPcB-1kmVo_ESE1GFOQ,George Fl0yd#888,Iron,EUW1
IYhT0uTuPcXCIeTlwlzZT3VdDo_kyaYsGQv9siLWrz35zJdwKWBVxtF4hREmQScpsCVYTOT0m-sa3Q,ThePlague#049,Iron,EUW1
N8W4IrGplBJKH0r4w6b52ToJy8EGHY-2P2dXXC5FklRsio-xq5fsfSAcSAN-2rGKScfWeY-TgSYVYg,Para#0139,Iron,EUW1
K3p1gQn70EQMBW9ZVTBh81qZ_DARdCfIxQY7i5j2tzskBwWV9Zg2Vdy57rWZvYbm2D-6xH9frZPSHg,NBA#sosa,Iron,EUW1
7tcSgnC0izjDcsDux_oHnkZ53V8RUEefnRR2hcnnKJDXNilYJzFOiMQ94AHLWg7jEtdR7NcdrM_qBw,Flushi#65731,Iron,EUW1
iSfzBGFVwxr6UKySXrULraGZy9BB8Idj_lWUVdMwEg53ywu_zAE-kn7Y5tPbfPdL1Uvlws4lHkdCEQ,Lanøuilleツ#3445,Iron,EUW1
W-khdIOSl1r72bOly77Sq-fy9KVtQnx3MsjmN3240H9FQRIvDLjqH72FAORfAzDBF3GD9vrZXewbWw,Witalorda#9053,Iron,EUW1
Iy37SpIHD2OreIm96QSbTA47E0LJk4hQIzIQXCUijeI-e5DBIxYpr1mqB7wE6N8wV6e6MZfR6JHKpQ,gucigengas#4770,Iron,EUW1
rHgzQnFbFmCr6_kJP3ddlkLyknWYP9co6kJSKwP-0uRVAyyYw3vaNHMbjpFb05AJqGmy82Z1h2YPCQ,goudepauw#2615,Iron,EUW1
7PkDd6SfEFfKsZtBrY8fK61HWFZJ2ERj4SUuOfABhh0pmK2fp617VpdiWvpnzGHr1QC3PGHjOqFeBw,Specs5523#3791,Iron,EUW1
QuCilgTDYAnqVFBIx6rrkEuLixtP1psPOi8WPfMYx5P1zghRyuUMVnB5UKwYr8pC4Vg_eeXQtk5ufw,curiculum#6809,Iron,EUW1
_-rJwN4kl8qTDw-uut_KrwbbiSlL3auveV7Mr6E9lZKVRXUqKpLccipumWvyD_dliSXYAwrABblWtQ,Thyhel#EUW,Iron,EUW1
MdbJHAhj-7kNr1A3b8hahOCQ3n_PT19_ZhglCnSfl7oaR3qH6o0LN5NHBqUhXMc9E57CIwNoNrMmSA,Swissmain#6699,Iron,EUW1
spgMn15fiNgqsyDCnRwJINSe2ahYyFZFmKv0wrPCoqZwQtKfwm3pJy3e7IGArgrBVkqqSUiHWg8gvg,FelinBison#EUW,Iron,EUW1
3jrKHb8kkc_5qOJnE-V6N0OBB0m4g62IO-oJJIPP4ltk9Bwij2Snmgy1qXNNeacgsq7NmMTnjdxQFA,Monkey Paw#0421,Iron,EUW1
lKxFi01xMSn2poCmEvH5efG_1IhYfs2i0qn6UGQIrHoXKJoGwFRyfk9evCcQnQt6NQOO5T_pfjZ9Ow,0AIM MONTAGNE#6776,Iron,EUW1
rwaCQDSpIbGzePKeXyyQU0lneJcn8QMWo59axEr_kpbVGbCEnLIb0ivOzNhM7bqfj5qo2eEDHhqT5w,Drizzit#fr83,Iron,EUW1
dE2Ninr0u7_b2fiCKZXmNInlBKnLDFAg2oa3HXQRPxKfBKolPgq0zmn-H_DpXhgpxa7tAP3HQJ8gtQ,LeBear James#G23T,Iron,EUW1
1dKQKVjRN4DPEq1kUrX3ulhjm7HCG1E790zY6QlazRmKsp2VIE1VrPlm0rYyv0ts3hJgSP7LX7qnCw,PoloChrom#EUW,Iron,EUW1
pKDcZ0QsTJIaINaXryEhn6-p2HWckpzYfioA5P3rOULzftHuxeZ_cFELMI6CwETbqvcb-q3HT_aBzw,Fragdochnochmal#EUW,Iron,EUW1
8WtPmEoDTtwMp-TyfQkEQXopBX2WjD5C4nqsiR3klK1o8hspYfBzZ2Auf0opuWKN6o7uKZ3LS8pNWA,Klench4Kench#EUW,Iron,EUW1
4TR98pfxutevWom7Q3wrT5pLzGE28XWv0sejKDayc0NDJEr8U6wywi3QfqiWLd0NB3FHkA5wXSOFqw,Arami#7072,Iron,EUW1
hthgUwRNWly24nFcufvVcZAxHDNHJao6nPPRAHCTqzK51Zyo6NmesoG7XpGEQoBHP3PkYENJwve5kg,Nurgle#PEST,Iron,EUW1
B0ZeqED1-pK5OEIfH6zA9iZFP-wNkUUGaWHk1JrW81Bmz9zHK4gE-Jjpi7hzO0YdUa3bA739nzHKcA,Wanderer#ORV,Iron,EUW1
DXjQIupA8beJ3tfk-SJ4x-8Z779j-Ott7Zr_eS5osIYGnpULhXwjj1Xh8a0f6CQGGEZxnNOGvJq5Cw,EzioCorleone#7146,Iron,EUW1
JBMWje0U4ZB_3eAIX72aKBK47vBG-z9UTQoVxsduHBZAD52zPhf16Ms5Uft_x3hMv_t6XnoDA9xMyA,yuancabalo#EUW,Iron,EUW1
-6q2Cy4q6Kn94OsC8vp-KPAwbiXN4mtl9gPpBWe7k1vJm9HUsU0q97LizgOP72mrNYXCaDOwuoexZQ,FoulLegacy69#EUW,Iron,EUW1
gEVnWMfamnMYaqGX_ai3QSyOpsodUf9uOND-GxeMPxvyjBnLGehJN0FnsYQAaQF0kQPn3RW26p2qcA,Tive#moon,Iron,EUW1
fM-MYPV8bqRNtmeFZIbxlUWUGIWajZU7Ea0NSKW6buHkFRXHPe6T5yUSClp257QBj9gAm4fIkVenjg,M8 acsangoku#0000,Iron,EUW1
z6TpNSCWfVr6aAaZZyqj8NydMYFfap0Bl8TMMO6Yk5LmwmNYZxC7VwSknEadohM4BXyYY9sAVscQsQ,Ya3rub#EUW,Iron,EUW1
VVVgWGl_fghmMiitqQfLNQo3CStUPBIzrPv3Jh06v21UQ5eP9PKql7MA5TUnL-lM0vDYG3BUHOY21g,zeriigaming#EUW,Iron,EUW1
